processes,threads,duration
5,1,10.023306
5,1,9.63522
5,1,9.409747
5,1,9.398434
5,1,9.349151
5,1,9.424393
5,1,9.410147
5,1,9.376274
5,1,9.455605
5,1,9.971026
5,2,6.164641
5,2,6.61358
5,2,6.036102
5,2,6.650401
5,2,6.116696
5,2,6.721955
5,2,6.267729
5,2,6.300569
5,2,6.109206
5,2,6.153538
5,2,6.160459
5,2,6.456892
5,2,5.963331
5,2,6.265126
5,2,6.201561
5,4,4.831091
5,4,4.685455
5,4,4.668524
5,4,4.570313
5,4,4.728161
5,4,4.476511
5,4,4.586111
5,4,4.531441
5,4,4.543867
5,4,4.375782
5,4,4.58729
5,4,4.736509
5,4,4.65125
5,4,4.677523
5,4,4.697941
5,8,3.843653
5,8,3.721148
5,8,3.79175
5,8,3.626662
5,8,3.783034
5,8,3.710908
5,8,3.722849
5,8,3.795319
5,8,3.440594
5,8,3.621201
5,8,3.848973
5,8,3.743434
5,8,3.803378
5,8,4.395503
5,8,3.872111
5,16,3.773562
5,16,4.123233
5,16,3.859593
5,16,3.770614
5,16,3.973364
5,16,3.785972
5,16,3.799578
5,16,3.856593
5,16,4.112729
5,16,3.86837
5,16,3.80145
5,16,3.89956
5,16,3.880405
5,16,3.921908
5,16,3.962582
5,32,3.863029
5,32,3.612152
5,32,3.583431
5,32,3.862408
5,32,3.930423
5,32,3.911036
5,32,3.933335
5,32,4.124236
5,32,3.842019
5,32,3.665837
5,32,3.664932
5,32,3.922585
5,32,3.916402
5,32,3.65057
5,32,3.837285
5,64,3.875327
5,64,3.814131
5,64,3.875254
5,64,3.866077
5,64,3.858318
5,64,3.594539
5,64,3.926241
5,64,4.403459
5,64,4.440818
5,64,4.373506
5,64,3.881225
5,64,3.815116
5,64,3.748846
5,64,3.857921
5,64,3.96507
9,1,9.514199
9,1,9.542305
9,1,9.740157
9,1,9.408582
9,1,9.630444
9,1,9.836426
9,1,9.568615
9,1,9.562582
9,1,9.551413
9,1,9.639468
9,1,9.719986
9,1,9.556489
9,1,9.666003
9,1,9.636646
9,1,9.515512
9,2,6.460402
9,2,6.335484
9,2,6.257688
9,2,6.132071
9,2,6.439153
9,2,6.298046
9,2,6.28674
9,2,6.322785
9,2,5.938032
9,2,6.411797
9,2,6.26643
9,2,6.190238
9,2,6.67715
9,2,6.259045
9,2,6.315197
9,4,4.468736
9,4,4.607856
9,4,4.39354
9,4,4.44657
9,4,4.245064
9,4,4.325084
9,4,4.340192
9,4,4.807111
9,4,5.071033
9,4,4.87549
9,4,4.564199
9,4,4.524644
9,4,4.62203
9,4,4.496943
9,4,4.207412
9,8,3.947104
9,8,3.911507
9,8,3.939315
9,8,3.942556
9,8,4.392977
9,8,3.734584
9,8,3.977646
9,8,3.960658
9,8,3.809518
9,8,3.763956
9,8,3.903707
9,8,4.007307
9,8,3.801362
9,8,3.802249
9,8,3.892252
9,16,4.000585
9,16,3.775449
9,16,3.880858
9,16,4.017308
9,16,4.190965
9,16,3.911522
9,16,3.873511
9,16,3.904328
9,16,3.978496
9,16,3.964568
9,16,4.00729
9,16,3.885169
9,16,3.989895
9,16,4.306479
9,16,3.859338
9,32,3.928043
9,32,4.039544
9,32,3.798919
9,32,3.719452
9,32,3.848937
9,32,3.574946
9,32,3.876485
9,32,3.66207
9,32,3.867712
9,32,3.880455
9,32,3.775207
9,32,3.611956
9,32,3.783293
9,32,3.79141
9,32,3.775104
9,64,3.952709
9,64,4.026101
9,64,3.759236
9,64,3.561114
9,64,3.645941
9,64,3.884382
9,64,3.536719
9,64,4.019938
9,64,3.727241
9,64,3.915039
9,64,3.641308
9,64,4.222811
9,64,4.171845
9,64,4.128415
9,64,3.587437
17,1,4.931109
17,1,4.738369
17,1,4.512602
17,1,4.845783
17,1,4.585296
17,1,4.716581
17,1,4.702117
17,1,4.807761
17,1,4.724017
17,1,5.282939
17,1,4.486569
17,1,4.457277
17,1,4.604051
17,1,4.900584
17,1,4.761387
17,2,3.815849
17,2,3.91816
17,2,3.906436
17,2,3.980804
17,2,4.054146
17,2,3.867111
17,2,4.088606
17,2,3.631391
17,2,3.905365
17,2,3.598942
17,2,4.075135
17,2,3.638044
17,2,3.992187
17,2,3.683303
17,2,3.881197
17,4,3.959166
17,4,3.964181
17,4,3.909237
17,4,3.970264
17,4,3.927462
17,4,4.341154
17,4,3.903147
17,4,3.738116
17,4,3.96528
17,4,3.651014
17,4,3.758
17,4,3.765341
17,4,3.508644
17,4,3.853164
17,4,4.120207
17,8,3.728217
17,8,3.69081
17,8,3.599289
17,8,3.687184
17,8,3.583305
17,8,4.239486
17,8,4.053445
17,8,3.845478
17,8,3.93337
17,8,3.806939
17,8,4.101858
17,8,4.086156
17,8,3.588832
17,8,3.90602
17,8,4.028394
17,16,3.877494
17,16,3.73281
17,16,3.68543
17,16,3.943747
17,16,4.099037
17,16,3.910839
17,16,3.764763
17,16,3.852287
17,16,4.030086
17,16,3.971629
17,16,4.080033
17,16,3.793281
17,16,4.066508
17,16,3.936632
17,16,4.114863
17,32,3.964675
17,32,3.881192
17,32,3.885062
17,32,3.665325
17,32,3.842887
17,32,3.99011
17,32,3.729222
17,32,3.932729
17,32,4.140725
17,32,4.257089
17,32,4.018058
17,32,3.701187
17,32,3.800087
17,32,3.636716
17,32,4.116937
17,64,3.978309
17,64,3.885027
17,64,3.638203
17,64,4.042033
17,64,3.884906
17,64,4.126501
17,64,3.755388
17,64,3.888966
17,64,3.695617
17,64,4.062912
17,64,3.831591
17,64,3.854807
17,64,3.976874
17,64,3.802523
17,64,3.790389
33,1,4.246474
33,1,3.911341
33,1,3.97076
