processes,threads,duration
9,32,3.080175
9,64,3.097196
9,64,3.103714
9,64,3.019273
9,64,2.946128
9,64,3.00103
9,64,3.030602
9,64,3.156162
9,64,3.248507
9,64,3.047825
9,64,2.932294
9,64,3.00387
9,64,3.041472
9,64,3.02405
9,64,2.965305
9,64,2.996276
17,1,4.897497
17,1,4.96137
17,1,4.944777
17,1,4.870103
17,1,4.919116
17,1,4.970405
17,1,4.878647
17,1,4.882392
17,1,4.975901
17,1,4.937608
17,1,4.906605
17,1,4.836382
17,1,4.920893
17,1,4.952612
17,1,4.87591
17,2,4.150142
17,2,4.397145
17,2,3.953447
17,2,4.042779
17,2,4.164626
17,2,4.009637
17,2,4.052801
17,2,4.225533
17,2,3.994597
17,2,4.225168
17,2,4.23149
17,2,4.040211
17,2,4.008631
17,2,4.237918
17,2,4.135766
17,4,3.550878
17,4,3.529192
17,4,3.392279
17,4,3.440994
17,4,3.718254
17,4,3.511625
17,4,3.481705
17,4,3.43694
17,4,3.391828
17,4,3.43461
17,4,3.438274
17,4,3.464027
17,4,3.474879
17,4,3.433392
17,4,3.444504
17,8,3.349709
17,8,3.095847
17,8,3.173992
17,8,3.174551
17,8,3.211821
17,8,3.303934
17,8,3.109838
17,8,3.082553
17,8,3.101334
17,8,3.04871
17,8,3.047848
17,8,3.226066
17,8,3.082614
17,8,3.152913
17,8,3.265189
17,16,3.155419
17,16,3.190758
17,16,3.252461
17,16,3.150653
17,16,3.126439
17,16,3.250337
17,16,3.106161
17,16,3.132921
17,16,3.141956
17,16,3.324876
17,16,3.459221
17,16,3.095424
17,16,3.104777
17,16,3.165173
17,16,3.001694
17,32,3.113002
17,32,3.461811
17,32,3.214691
17,32,3.216188
17,32,3.22673
17,32,3.021076
17,32,3.077778
17,32,3.373124
17,32,3.623053
17,32,3.150676
17,32,3.06236
17,32,3.136004
17,32,3.102118
17,32,3.218924
17,32,3.230771
17,64,2.92747
17,64,2.998736
17,64,3.097293
17,64,3.034549
17,64,3.029552
17,64,2.999924
17,64,3.004351
17,64,3.135982
17,64,3.079717
17,64,3.409962
17,64,3.075054
17,64,3.141105
17,64,3.131938
17,64,2.996773
17,64,3.104267
33,1,3.992873
33,1,4.248052
33,1,4.184804
33,1,4.028085
33,1,4.238346
33,1,4.161822
33,1,4.31955
33,1,4.359513
33,1,4.109756
33,1,4.143951
33,1,4.241001
33,1,4.802293
33,1,4.136583
33,1,3.936767
33,1,4.155263
33,2,3.508804
33,2,3.536784
33,2,3.727587
33,2,3.624994
33,2,3.582951
33,2,3.461417
33,2,3.566759
33,2,3.51086
33,2,3.422963
33,2,3.530973
33,2,3.514786
33,2,3.510855
33,2,3.647818
33,2,3.350235
33,2,3.650478
33,4,3.217272
33,4,3.231858
33,4,3.229892
33,4,3.229978
33,4,3.259736
33,4,3.224518
33,4,3.211641
33,4,3.239267
33,4,3.274022
33,4,3.203453
33,4,3.23208
33,4,3.289664
33,4,3.194189
33,4,3.229014
33,4,3.156525
33,8,3.136898
33,8,3.267854
33,8,3.912633
33,8,3.131041
33,8,3.156833
33,8,3.112777
33,8,3.255209
33,8,3.183172
33,8,3.187342
33,8,3.06227
33,8,3.108157
33,8,3.147025
33,8,3.051931
33,8,3.248632
33,8,3.119256
33,16,3.305244
33,16,3.258058
33,16,3.083426
33,16,3.252442
33,16,3.111128
33,16,3.203959
33,16,3.13687
33,16,3.202866
33,16,3.210785
33,16,3.127039
33,16,3.196887
33,16,3.303594
33,16,3.110208
33,16,3.090692
33,16,3.014134
33,32,3.272134
33,32,3.217253
33,32,3.471024
33,32,3.200027
33,32,3.355037
33,32,3.250505
33,32,3.29622
33,32,3.479715
33,32,3.442942
33,32,3.522025
33,32,3.312388
33,32,3.24944
33,32,3.214379
33,32,3.191994
33,32,3.241128
33,64,3.061003
33,64,3.09701
33,64,3.071187
33,64,3.026999
33,64,3.151624
33,64,3.182116
33,64,3.061053
33,64,3.211018
33,64,3.248744
33,64,3.121308
33,64,3.187411
33,64,3.136225
33,64,3.152025
33,64,3.077414
33,64,3.339848
65,1,3.404187
65,1,3.674953
65,1,3.485152
65,1,3.519189
65,1,3.660875
65,1,3.58341
65,1,3.554162
65,1,3.442969
65,1,3.368787
65,1,3.507632
65,1,3.531112
65,1,3.591735
65,1,3.73907
65,1,3.615071
65,1,3.625428
65,2,3.503803
65,2,3.428882
65,2,3.315917
65,2,3.415797
65,2,3.323072
65,2,3.383397
65,2,3.428194
65,2,3.260379
65,2,3.315255
65,2,3.287532
65,2,3.400189
65,2,3.547327
65,2,3.423295
65,2,3.567339
65,2,3.408859
65,4,3.419179
65,4,3.36413
65,4,3.368389
65,4,3.320436
65,4,3.295067
65,4,3.347753
65,4,3.223352
65,4,3.263014
65,4,3.369073
65,4,3.333826
65,4,3.416382
65,4,3.331778
65,4,3.415576
65,4,3.299345
65,4,3.320354
65,8,3.214329
65,8,3.249855
65,8,3.192452
65,8,3.188277
65,8,3.31072
65,8,3.451747
65,8,3.166249
65,8,3.382468
65,8,3.327995
65,8,3.387164
65,8,3.127738
65,8,3.319102
65,8,3.179174
65,8,3.335244
65,8,3.222401
65,16,3.267291
65,16,3.386878
65,16,3.401729
65,16,3.349723
65,16,3.295635
65,16,3.483452
65,16,3.307135
65,16,3.371151
65,16,3.371078
65,16,3.335672
65,16,3.319103
65,16,3.495617
65,16,3.342616
65,16,3.275952
65,16,3.353252
65,32,3.668281
65,32,3.78897
65,32,3.65162
65,32,3.703093
65,32,3.690008
65,32,3.710391
65,32,3.731106
65,32,3.615843
65,32,3.639991
65,32,3.474069
65,32,3.6177
65,32,3.668649
65,32,3.597731
65,32,3.588229
65,32,3.715823
65,64,3.559197
65,64,3.687176
65,64,3.257961
65,64,3.437512
65,64,3.495363
65,64,3.458521
65,64,3.283385
65,64,3.41147
65,64,3.302382
65,64,3.255401
65,64,3.443081
65,64,3.402416
65,64,3.476633
65,64,3.294801
65,64,3.432334
